"id","cid","smiles","molecular_weight","average_distance","new_average_distance"
75527,40085,"CCCCCC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2","346.135113564","0.5451827","0.5229943"
79435,44431,"CN(C)CCNC(=O)CCCC1=CC=CC=C1","234.173213324","0.579733","0.579733"
79437,44433,"CCN(CC)CCNC(=O)CCCC1=CC=CC=C1","262.204513452","0.57387775","0.57035804"
79551,44566,"COC1=C(C(=C2C(=C1)CC[C@@H](C3=CC(=O)C(=CC=C32)SC)NC(=O)C4=CC=CC=C4)OC)OC","477.16099396399994","0.5877383","0.5635485"
79552,44567,"CCOC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)OC","445.1559085839999","0.5149367","0.50507814"
80208,45314,"CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC)OC)OC)OC","398.18417193199997","0.5786169","0.56354845"
80925,46078,"CC(C)OC(=O)NCCC1=CC=CC=C1","207.125928784","0.54883116","0.52604795"
80997,46151,"COC1=CC=C2C(=CC1=O)[C@H](CCC3=CC(=C(C(=C32)OC)OC)OC)NC(=O)C4=CC=CC=C4","461.18383758399995","0.70039475","0.67049867"
82297,47622,"C1=CC=C(C=C1)CCC(=O)NCCCCC(C(=O)O)NC(=O)CCC2=CC=CC=C2","410.22055744","0.51278913","0.51278913"
16236,10605,"CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)O)OC)OC)OC","357.157622836","0.52636874","0.51951444"
18444,13085,"C1=CC=C(C=C1)C(=O)NNC(=O)C2=CC=CC=C2","240.089877624","0.4861363","0.509197"
19574,14366,"CCOC(=O)CNC(=O)OCC1=CC=CC=C1","237.10010796","0.529423","0.5080939"
20228,15138,"C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=C(C=C2)F","315.13830503599996","0.50072974","0.5195347"
20670,15631,"C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2F","215.07464216","0.49128857","0.51692957"
22406,17648,"CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)OC","415.1453439","0.5557609","0.54154956"
22543,17798,"CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)NC)OC)OC)OC","398.18417193199997","0.5786169","0.56354845"
23627,18991,"COC1=CC=C2C(=CC1=O)[C@H](CCC3=CC(=C(C(=C32)OC)OC)OC)N","357.157622836","0.5296373","0.5221836"
58454,20668,"C1=CC=C(C=C1)CC(=O)NCC(=O)NO","208.084792244","0.50429076","0.55330175"
58559,20788,"C1=CC=C(C=C1)CCNC(=O)OCCO","209.10519334","0.6218995","0.584862"
